name,detail_url,logo_url,slug,has_logo
5 Leaf,https://www.leafly.com/brands/5-leaf,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/NPJBIw2LTpCXhKHwfx3w_5Leaf-logo-300x300.png,5-leaf,yes
5 Leaf Lab,https://www.leafly.com/brands/5-leaf-lab,https://leafly-public.imgix.net/brands/brand-placeholder.svg,5-leaf-lab,yes
5 Points,https://www.leafly.com/brands/5-points,https://leafly-public.imgix.net/brands/brand-placeholder.svg,5-points,yes
5-Seeds.com,https://www.leafly.com/brands/5-seeds-com,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/Ygh7AzHdSHqNL8RkVNze_5-SEEDS-sq.png,5-seeds-com,yes
509 Da Kine,https://www.leafly.com/brands/509-da-kine,https://leafly-public.imgix.net/brands/brand-placeholder.svg,509-da-kine,yes
528hz Gardens,https://www.leafly.com/brands/528hz-gardens,https://leafly-public.imgix.net/brands/brand-placeholder.svg,528hz-gardens,yes
54 green acres,https://www.leafly.com/brands/54-green-acres,https://leafly-public.imgix.net/brands/brand-placeholder.svg,54-green-acres,yes
5th House,https://www.leafly.com/brands/5th-house,https://leafly-public.imgix.net/brands/brand-placeholder.svg,5th-house,yes
612 Studios,https://www.leafly.com/brands/612-studios,https://leafly-public.imgix.net/brands/brand-placeholder.svg,612-studios,yes
7 Leaf Clover,https://www.leafly.com/brands/7-leaf-clover,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/49SsBNchRQGLD7x0HHhy_7LeafCloverHemp..jpg,7-leaf-clover,yes
7 Leaf Marketing,https://www.leafly.com/brands/7-leaf-marketing,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/IjLBhuoT6SPsBFGPT1gk_logo14.jpg,7-leaf-marketing,yes
7 Leaf OK,https://www.leafly.com/brands/7-leaf-ok,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/CpjcgQtQ1i9Ukx4m8xdw_7LeafLogo10-21.jpg,7-leaf-ok,yes
7 Point Minds,https://www.leafly.com/brands/7-point-minds,https://leafly-public.imgix.net/brands/brand-placeholder.svg,7-point-minds,yes
7 Point Naturals,https://www.leafly.com/brands/7-point-naturals,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/U0hcgFzfTeifGylP0R8h_3D-mockup.jpg,7-point-naturals,yes
7 Points Oregon,https://www.leafly.com/brands/7-points-oregon,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/1lhIkxSOOAwwNXOnmXAO_7%20Points%20Oregon%20Logo.jpg,7-points-oregon,yes
7 Rays Marketing,https://www.leafly.com/brands/7-rays-marketing,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/nXJqWz4JTwYOqVyzsbYv_a2.jpg,7-rays-marketing,yes
7 Wonders,https://www.leafly.com/brands/7-wonders,https://leafly-public.imgix.net/brands/brand-placeholder.svg,7-wonders,yes
710 Diamond Co,https://www.leafly.com/brands/710-diamond-co,https://leafly-public.imgix.net/brands/brand-placeholder.svg,710-diamond-co,yes
710 Labs,https://www.leafly.com/brands/710-labs,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/Ptf0uJ2rTFGFRIcaIOqi_IMG_1482.png,710-labs,yes
710 Life,https://www.leafly.com/brands/710-life,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/kSDFmiiMT0SO8seYeNAs_Bee%20Logo%20with%20710%20Life%20UNDERNEATH.png,710-life,yes
710 Reserve,https://www.leafly.com/brands/710-reserve,https://leafly-public.imgix.net/brands/brand-placeholder.svg,710-reserve,yes
77 Gardens & Extracts,https://www.leafly.com/brands/77-gardens-extracts,https://leafly-public.imgix.net/brands/brand-placeholder.svg,77-gardens-extracts,yes
788 Collection,https://www.leafly.com/brands/788-collection,https://leafly-public.imgix.net/brands/brand-placeholder.svg,788-collection,yes
7ACRES,https://www.leafly.com/brands/7-acres,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/VJLnetVOS9O1Uusl1mFn_Artboard%201%20copy%203whatsinyouuuurprerolltw2.png,7-acres,yes
7Greengold,https://www.leafly.com/brands/7greengold,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/iVeMaDpWQcO9i4jrCUdh_7LOGO%20copy.png,7greengold,yes
7pipe,https://www.leafly.com/brands/7pipe,https://leafly-public.imgix.net/brands/brand-placeholder.svg,7pipe,yes
7vn - Discreet Smoking Accessories,https://www.leafly.com/brands/7vn,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/Y4xuhW7iS96yg07pUo5a_7vn-logo-square.jpg,7vn,yes
8-Fold,https://www.leafly.com/brands/8-fold,https://leafly-public.imgix.net/brands/brand-placeholder.svg,8-fold,yes
8Labs CBD,https://www.leafly.com/brands/octagon-biolabs,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/jtmHuISWS6OvCbzLtsxk_8LabsLogoIG-2.jpg,octagon-biolabs,yes
8th Smoke,https://www.leafly.com/brands/8th-smoke,https://s3-us-west-2.amazonaws.com/leafly-public/cPrYKweSpKhccY5luNZH_b11c3a25-dc81-4135-9426-20317171a5c6,8th-smoke,yes
918 Ark Extractions,https://www.leafly.com/brands/918-ark-extractions,https://leafly-public.imgix.net/brands/brand-placeholder.svg,918-ark-extractions,yes
93 Boyz,https://www.leafly.com/brands/93-boyz,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/AVgUXqJ3SPx1jYuiAx0N_Artboard-1.jpg,93-boyz,yes
99Pipes,https://www.leafly.com/brands/99pipes,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/ndkbUmUbRerPoxyIj1Zj_logo.jpg,99pipes,yes
A B Laboratories,https://www.leafly.com/brands/a-b-laboratories,https://leafly-public.imgix.net/brands/brand-placeholder.svg,a-b-laboratories,yes
A Buddy Indeed,https://www.leafly.com/brands/a-buddy-indeed,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/L6cdyOeR5eWut9Lqsqw1_BUDDY%20HORZ%20POSITIVE%20NEW.jpg,a-buddy-indeed,yes
A Cut Above,https://www.leafly.com/brands/a-cut-above,https://leafly-public.imgix.net/brands/brand-placeholder.svg,a-cut-above,yes
A Gift From Nature,https://www.leafly.com/brands/a-gift-from-nature,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/kqcL2H6gSwa1AaXzbqLm_AGFN-logo-300x300-new.jpg,a-gift-from-nature,yes
A Golden State,https://www.leafly.com/brands/a-golden-state,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/QDx8ES11TKK6rhZezYKl_Untitled-design-(6)-copy-19.png,a-golden-state,yes
A Plus CBD,https://www.leafly.com/brands/a-plus-cbd,https://leafly-public.imgix.net/brands/brand-placeholder.svg,a-plus-cbd,yes
A Vant Garden (Oregon),https://www.leafly.com/brands/a-vant-garden-oregon,https://leafly-public.imgix.net/brands/brand-placeholder.svg,a-vant-garden-oregon,yes
A-HA!,https://www.leafly.com/brands/a-ha,https://leafly-public.imgix.net/brands/brand-placeholder.svg,a-ha,yes
A-List Cannabis,https://www.leafly.com/brands/a-list-cannabis,https://leafly-public.imgix.net/brands/brand-placeholder.svg,a-list-cannabis,yes
A88CBD™,https://www.leafly.com/brands/a88cbd,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/gSVdQF5ET8aHuC8J6PCf_250x250_New-01.png,a88cbd,yes
AAA BOUTIQUE FLOWERS,https://www.leafly.com/brands/aaa-boutique-flowers,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/oTYWrxnFQMy3CKmwatG3_BD2AEB0F-F1E6-4FF7-8727-00EA59186D9B.png,aaa-boutique-flowers,yes
ABC Farms,https://www.leafly.com/brands/abc-farms,https://leafly-public.imgix.net/brands/brand-placeholder.svg,abc-farms,yes
ABP Farms,https://www.leafly.com/brands/abp-farms,https://leafly-public.imgix.net/brands/brand-placeholder.svg,abp-farms,yes
ABSC Organics,https://www.leafly.com/brands/absc-organics,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/6Vc6ifB4RV2BYmFfpNzw_Circles-new.png,absc-organics,yes
ABV Cannabis Co.,https://www.leafly.com/brands/abv-cannabis-co,https://leafly-public.imgix.net/brands/brand-placeholder.svg,abv-cannabis-co,yes
ABX AbsoluteXtracts,https://www.leafly.com/brands/absolutextracts,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/TFDur0Z4QFCLSsQiIqGs_ABX-420-Template_BOGO_1080x1080.png,absolutextracts,yes
ABcann Medicinals Inc,https://www.leafly.com/brands/abcann-medicinals-inc,https://leafly-public.imgix.net/brands/brand-placeholder.svg,abcann-medicinals-inc,yes
ACE Seeds,https://www.leafly.com/brands/ace-seeds,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/8H4nuV1SsuJxfQS4S0gw_ACE%20Seeds%20logo.jpg,ace-seeds,yes
ACME Elixirs,https://www.leafly.com/brands/acme-elixirs,https://leafly-public.imgix.net/brands/brand-placeholder.svg,acme-elixirs,yes
ACS Concentrates,https://www.leafly.com/brands/acs-concentrates,https://leafly-public.imgix.net/brands/brand-placeholder.svg,acs-concentrates,yes
ACS Flower,https://www.leafly.com/brands/acs-flower,https://leafly-public.imgix.net/brands/brand-placeholder.svg,acs-flower,yes
ADURA LED Solutions,https://www.leafly.com/brands/adura-led-solutions,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/fzKKQsicS42Gi4IHm7GL_adura-logo.png,adura-led-solutions,yes
AFC - Advocates For Cannabis,https://www.leafly.com/brands/afc-collective,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/Cf5s4i0CQTSx76Hq4MMd_AFC_logo_leafy.jpg,afc-collective,yes
AFENDS,https://www.leafly.com/brands/afends,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/wVy0DLoeSnhsBU3GJYVS_Untitled-design-(39).png,afends,yes
AFM Glass,https://www.leafly.com/brands/afm-glass,https://leafly-public.imgix.net/brands/brand-placeholder.svg,afm-glass,yes
AFS Maryland,https://www.leafly.com/brands/afs-maryland,https://leafly-public.imgix.net/brands/brand-placeholder.svg,afs-maryland,yes
AG Grow,https://www.leafly.com/brands/ag-grow,https://leafly-public.imgix.net/brands/brand-placeholder.svg,ag-grow,yes
AHLOT,https://www.leafly.com/brands/ahlot,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/SxGRcLXYTS2kG7JuLfsT_x3JoE6WX_400x400.jpg,ahlot,yes
AKANA WESTING,https://www.leafly.com/brands/akana-westing,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/WOQXdxBRzGctyZCPEeYa_AK_logo.png,akana-westing,yes
AKO FARMS,https://www.leafly.com/brands/ako-farms,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/Xvg2hOR6T4y4QvkxKyQA_AKO%20FARMS%20LLC[460].jpg,ako-farms,yes
ALAIR Vaporizers,https://www.leafly.com/brands/alair-vaporizers,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/raHUv387QaK9QKhtiHku_black-front-two.jpg,alair-vaporizers,yes
ALIS GROUP,https://www.leafly.com/brands/alis-group,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/8nYvC5gSRbOlUwSSkjps_Alis-group-processor-logo.png,alis-group,yes
AMAZE Cannabis,https://www.leafly.com/brands/amaze-cannabis,https://s3-us-west-2.amazonaws.com/leafly-public/enwGYC7mQDaQXcOtjEcf_2124dda6-8457-4ffd-978e-fe0d62935ee7,amaze-cannabis,yes
AMG Glass,https://www.leafly.com/brands/amg-glass,https://leafly-public.imgix.net/brands/brand-placeholder.svg,amg-glass,yes
ANAXY.net,https://www.leafly.com/brands/anaxy,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/Dj3qThywTfqHvNZDvofT_ANAXY1_s_kl.jpg,anaxy,yes
ANP,https://www.leafly.com/brands/anp,https://leafly-public.imgix.net/brands/brand-placeholder.svg,anp,yes
ANTIDOTE+,https://www.leafly.com/brands/antidote,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/gno1oxNYTMyQrM3A34iZ_0C26979F-25BD-4BC1-AD49-7A60023CC744.png,antidote,yes
